,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
299,300,7167873,61,0,single,rented,yes,Designer,Ambala,Haryana,0,11,1
89619,89620,4006235,74,11,single,rented,no,Technology_specialist,Bhagalpur,Bihar,3,13,0
238400,238401,9580932,30,12,single,rented,yes,Mechanical_engineer,Moradabad,Uttar_Pradesh,12,14,0
198869,198870,268562,51,19,single,rented,no,Official,Pondicherry,Puducherry,6,14,0
64303,64304,7767461,65,6,single,owned,no,Fashion_Designer,Farrukhabad,Uttar_Pradesh,6,13,0
184908,184909,9645128,26,2,single,rented,no,Artist,Kavali,Andhra_Pradesh,2,11,1
212329,212330,978225,72,0,single,rented,yes,Industrial_Engineer,Salem,Tamil_Nadu,0,13,1
29011,29012,7645788,71,17,single,rented,yes,Civil_engineer,Pudukkottai,Tamil_Nadu,13,14,0
94661,94662,3114473,49,16,married,rented,yes,Surveyor,Katihar,Bihar,10,11,0
321,322,7086647,24,4,married,rented,no,Engineer,Ambattur,Tamil_Nadu,4,14,0
95098,95099,4386483,37,0,single,rented,no,Secretary,New_Delhi,Delhi,0,11,0
45157,45158,854406,68,13,single,rented,no,Petroleum_Engineer,Nashik,Maharashtra,7,12,0
226130,226131,8607062,48,2,single,rented,yes,Lawyer,Jaunpur,Uttar_Pradesh,2,11,1
109830,109831,116617,62,15,single,rented,no,Mechanical_engineer,Bhilai,Chhattisgarh,14,11,1
225154,225155,9364585,40,14,married,rented,no,Graphic_Designer,Hazaribagh,Jharkhand,13,12,0
149201,149202,8047392,61,2,single,rented,no,Graphic_Designer,Phagwara,Punjab,2,14,1
96307,96308,7225783,63,9,married,owned,yes,Dentist,Udupi,Karnataka,9,12,0
194933,194934,6002096,32,14,single,rented,no,Secretary,Ramagundam[27],Telangana,3,13,1
120598,120599,957493,72,14,single,rented,no,Aviator,Satara,Maharashtra,9,14,0
17093,17094,9543987,50,13,single,rented,no,Design_Engineer,Agra,Uttar_Pradesh,11,14,0
248181,248182,5080857,58,1,single,rented,yes,Secretary,Dibrugarh,Assam,1,14,0
131527,131528,9659187,37,11,single,rented,yes,Aviator,Kolkata,West_Bengal,11,11,0
115259,115260,7720372,72,6,single,rented,yes,Physician,Mira-Bhayandar,Maharashtra,6,11,0
86743,86744,1108464,57,20,single,rented,no,Engineer,Morena,Madhya_Pradesh,7,14,1
199090,199091,2267970,64,5,single,rented,no,Civil_engineer,Hindupur,Andhra_Pradesh,5,10,0
10611,10612,1861491,71,1,single,rented,yes,Comedian,Lucknow,Uttar_Pradesh,1,11,0
59680,59681,661573,42,20,single,rented,yes,Analyst,Suryapet,Telangana,14,12,0
51334,51335,3714943,36,12,single,rented,no,Aviator,Madurai,Tamil_Nadu,8,12,0
239182,239183,7135988,55,1,single,rented,no,Surgeon,Nagercoil,Tamil_Nadu,1,14,0
133993,133994,7747841,71,14,single,rented,no,Computer_operator,Madanapalle,Andhra_Pradesh,5,10,0
166063,166064,8615453,67,18,single,rented,yes,Lawyer,Jamnagar,Gujarat,11,14,0
29667,29668,9122234,60,11,single,rented,no,Air_traffic_controller,Adoni,Andhra_Pradesh,8,13,0
189999,190000,7794515,51,2,single,rented,no,Web_designer,Kanpur,Uttar_Pradesh,2,11,0
96159,96160,9662707,31,2,single,rented,no,Air_traffic_controller,Aurangabad[39],Bihar,2,13,1
209861,209862,8301578,59,3,single,rented,no,Artist,Bally,West_Bengal,3,11,0
44548,44549,6387025,34,20,single,rented,no,Design_Engineer,Kanpur,Uttar_Pradesh,9,11,0
106549,106550,8397564,71,0,single,rented,no,Designer,Raebareli,Uttar_Pradesh,0,12,0
55485,55486,5671193,30,20,single,rented,no,Surveyor,Bahraich,Uttar_Pradesh,11,14,0
187470,187471,2917765,47,9,single,rented,no,Technical_writer,Ratlam,Madhya_Pradesh,9,14,0
94202,94203,6238694,59,1,single,rented,no,Engineer,Kulti,West_Bengal,1,11,1
184584,184585,6932717,37,0,single,rented,no,Engineer,Medininagar,Jharkhand,0,13,0
183373,183374,8420858,55,14,single,rented,no,Technology_specialist,Bhagalpur,Bihar,7,13,0
239512,239513,4974712,70,15,single,rented,no,Technology_specialist,Nadiad,Gujarat,8,13,0
76003,76004,8160444,30,19,single,rented,no,Aviator,Korba,Chhattisgarh,10,12,0
1320,1321,850458,75,1,single,rented,no,Hotel_Manager,Ambala,Haryana,1,12,0
212526,212527,5732279,29,18,single,rented,yes,Mechanical_engineer,Tezpur,Assam,12,11,0
110455,110456,2286483,22,3,single,rented,yes,Physician,Gandhinagar,Gujarat,3,12,0
88475,88476,6798686,31,9,single,owned,no,Dentist,Hyderabad,Telangana,9,10,1
142088,142089,7073640,79,6,single,owned,yes,Chef,Dehri[30],Bihar,6,10,0
81535,81536,121035,71,12,single,rented,no,Police_officer,Kavali,Andhra_Pradesh,11,13,0
87878,87879,6486411,48,10,single,norent_noown,no,Architect,Bijapur,Karnataka,10,11,0
131818,131819,4842954,45,1,single,rented,yes,Dentist,Surendranagar_Dudhrej,Gujarat,1,11,0
240751,240752,7012837,23,5,single,rented,no,Chartered_Accountant,Mangalore,Karnataka,5,13,0
65102,65103,1670303,35,13,married,rented,no,Analyst,Berhampore,West_Bengal,5,14,1
83232,83233,8435439,68,1,single,rented,no,Geologist,Kakinada,Andhra_Pradesh,1,14,1
74986,74987,2780996,72,4,single,rented,no,Statistician,Tadepalligudem,Andhra_Pradesh,4,12,0
117610,117611,8797493,55,15,single,rented,no,Technology_specialist,Coimbatore,Tamil_Nadu,12,13,0
63685,63686,4621722,44,11,single,rented,no,Physician,Bardhaman,West_Bengal,6,14,1
203047,203048,4566497,61,1,single,rented,no,Psychologist,Anantapuram[24],Andhra_Pradesh,1,10,0
173159,173160,842278,30,18,single,rented,yes,Physician,Pimpri-Chinchwad,Maharashtra,3,14,0
147642,147643,2716181,76,8,single,rented,no,Surgeon,Mahbubnagar,Telangana,8,11,1
68742,68743,9675070,56,19,single,rented,yes,Psychologist,Sasaram[30],Bihar,3,10,1
35771,35772,5003285,54,9,single,owned,no,Web_designer,Morena,Madhya_Pradesh,9,11,0
54819,54820,5357215,52,8,single,rented,yes,Librarian,Darbhanga,Bihar,8,11,0
16924,16925,1630476,65,3,single,rented,no,Chef,Guwahati,Assam,3,10,0
73679,73680,4382706,38,11,single,rented,yes,Scientist,Tezpur,Assam,10,12,0
243870,243871,6398385,70,6,single,rented,no,Official,Sambhal,Uttar_Pradesh,6,10,0
120107,120108,1780484,24,10,single,rented,no,Software_Developer,Guntur[13],Andhra_Pradesh,5,13,0
219390,219391,777836,56,16,single,owned,no,Firefighter,Raebareli,Uttar_Pradesh,9,12,0
129878,129879,9173731,47,3,single,rented,no,Petroleum_Engineer,Hapur,Uttar_Pradesh,3,12,0
74136,74137,5118418,57,18,single,rented,no,Statistician,Phusro,Jharkhand,10,13,1
24830,24831,7479878,55,8,married,rented,no,Analyst,Allahabad,Uttar_Pradesh[5],8,14,0
85183,85184,7692854,63,10,single,rented,yes,Lawyer,Satna,Madhya_Pradesh,10,11,0
241431,241432,2755163,53,13,single,rented,no,Software_Developer,Ahmedabad,Gujarat,11,11,0
241634,241635,1956362,73,13,single,rented,no,Lawyer,Chandrapur,Maharashtra,5,14,0
21918,21919,4131397,33,17,single,rented,yes,Lawyer,Pune,Maharashtra,13,12,0
133784,133785,3864475,44,14,single,rented,no,Official,Cuttack,Odisha,10,11,0
155880,155881,2955309,29,17,single,rented,yes,Hotel_Manager,Khammam,Telangana,12,11,0
49900,49901,8763343,57,13,single,rented,yes,Biomedical_Engineer,Serampore,West_Bengal,4,11,0
2298,2299,4737242,29,5,married,rented,no,Dentist,Gudivada,Andhra_Pradesh,5,13,0
106087,106088,4539857,43,4,single,rented,no,Politician,Buxar[37],Bihar,4,14,0
231193,231194,8597834,43,5,single,rented,no,Design_Engineer,Pune,Maharashtra,4,13,0
201954,201955,6706117,70,6,single,rented,no,Secretary,Firozabad,Uttar_Pradesh,4,12,0
12716,12717,6152081,66,8,single,rented,no,Technology_specialist,Kanpur,Uttar_Pradesh,3,12,0
208284,208285,1999332,56,1,single,rented,no,Graphic_Designer,Bulandshahr,Uttar_Pradesh,1,10,0
202090,202091,9425863,69,19,single,rented,no,Psychologist,Bangalore,Karnataka,4,11,0
224569,224570,3054874,79,16,married,rented,no,Dentist,Bhusawal,Maharashtra,6,10,0
186607,186608,915146,50,4,single,owned,no,Computer_operator,Gandhidham,Gujarat,4,13,0
76357,76358,7677453,49,12,single,rented,yes,Financial_Analyst,Firozabad,Uttar_Pradesh,3,11,0
125532,125533,2779765,45,11,single,rented,no,Air_traffic_controller,Malegaon,Maharashtra,4,13,0
4323,4324,3356017,52,0,single,rented,yes,Civil_servant,Etawah,Uttar_Pradesh,0,14,0
152774,152775,4935105,74,17,single,rented,no,Official,Gorakhpur,Uttar_Pradesh,5,10,0
3845,3846,5633121,47,11,single,rented,no,Consultant,Kamarhati,West_Bengal,4,14,0
17839,17840,145471,62,9,single,rented,no,Technology_specialist,Tezpur,Assam,9,14,0
106520,106521,990424,30,18,single,rented,no,Artist,Ozhukarai,Puducherry,13,10,0
224838,224839,9401312,59,18,single,rented,no,Analyst,Aizawl,Mizoram,12,12,0
160552,160553,1659986,43,11,single,norent_noown,no,Industrial_Engineer,Ambarnath,Maharashtra,11,11,0
240250,240251,5458082,78,13,single,rented,yes,Petroleum_Engineer,Mehsana,Gujarat,10,12,1
114510,114511,1659351,37,12,married,rented,yes,Industrial_Engineer,Agra,Uttar_Pradesh,12,11,0
117090,117091,8841707,53,13,single,rented,no,Biomedical_Engineer,Farrukhabad,Uttar_Pradesh,3,12,0
28907,28908,4142958,60,2,single,rented,no,Surveyor,Erode[17],Tamil_Nadu,2,11,0
251349,251350,8842048,56,13,single,rented,yes,Chartered_Accountant,Kochi,Kerala,11,12,0
241679,241680,4254918,66,0,single,rented,no,Computer_operator,Berhampur,Odisha,0,10,0
243532,243533,182308,59,5,single,rented,no,Secretary,Aligarh,Uttar_Pradesh,5,13,0
216528,216529,9196918,57,1,single,rented,yes,Official,Panihati,West_Bengal,1,14,1
202780,202781,5795495,34,16,single,rented,no,Chartered_Accountant,Gangtok,Sikkim,12,14,0
121825,121826,430836,33,5,single,rented,no,Lawyer,Pune,Maharashtra,5,13,0
60734,60735,424512,60,16,single,rented,no,Designer,Bhopal,Madhya_Pradesh,5,11,1
172069,172070,6666406,79,4,single,rented,no,Graphic_Designer,Rohtak,Haryana,4,12,0
34238,34239,1026262,79,12,married,owned,yes,Physician,Giridih,Jharkhand,12,10,0
23497,23498,5315413,35,14,single,rented,no,Artist,Udaipur,Rajasthan,5,11,0
244972,244973,5500074,24,17,single,rented,no,Software_Developer,Etawah,Uttar_Pradesh,9,13,0
62527,62528,4349239,57,5,single,rented,no,Architect,Durg,Chhattisgarh,5,13,0
99331,99332,6649334,59,12,married,rented,no,Fashion_Designer,Surendranagar_Dudhrej,Gujarat,11,11,0
215485,215486,4391559,52,6,single,owned,no,Civil_servant,Rewa,Madhya_Pradesh,6,13,0
185484,185485,6381050,29,4,single,rented,no,Lawyer,Miryalaguda,Telangana,4,12,0
177115,177116,8413446,35,11,single,rented,no,Technician,Tenali,Andhra_Pradesh,4,11,0
180285,180286,3465762,55,13,single,rented,no,Psychologist,Khandwa,Madhya_Pradesh,7,10,0
196238,196239,9345198,49,9,single,rented,no,Industrial_Engineer,Ajmer,Rajasthan,9,11,1
32508,32509,227394,56,12,single,rented,no,Firefighter,Patna,Bihar,5,14,0
132420,132421,446041,67,19,single,rented,no,Air_traffic_controller,Agra,Uttar_Pradesh,11,13,0
61122,61123,191452,53,1,single,owned,yes,Software_Developer,Tinsukia,Assam,1,12,0
62363,62364,5028396,38,16,single,rented,no,Flight_attendant,"Khora,_Ghaziabad",Uttar_Pradesh,4,10,0
9347,9348,3716674,47,14,single,rented,no,Chef,Saharsa[29],Bihar,8,13,0
82241,82242,8367421,59,3,single,rented,no,Air_traffic_controller,Dhanbad,Jharkhand,3,11,0
113681,113682,2277429,42,18,single,rented,no,Analyst,Amaravati,Andhra_Pradesh,4,14,0
133026,133027,246678,68,15,single,rented,no,Politician,Thane,Maharashtra,8,14,0
248404,248405,4722736,50,7,single,rented,no,Web_designer,Aligarh,Uttar_Pradesh,7,12,0
66463,66464,371671,34,6,single,rented,no,Statistician,Kalyan-Dombivli,Maharashtra,6,12,0
180291,180292,5055461,41,11,single,rented,no,Chartered_Accountant,Agartala,Tripura,10,12,0
209076,209077,7083559,52,10,single,rented,no,Computer_operator,Bathinda,Punjab,5,13,0
172523,172524,7349884,67,10,single,rented,no,Geologist,Nanded,Maharashtra,6,12,0
204619,204620,2730986,35,10,single,rented,no,Web_designer,Panchkula,Haryana,4,14,0
83843,83844,1094592,79,0,single,rented,yes,Firefighter,Kishanganj[35],Bihar,0,13,0
244732,244733,1397124,78,6,married,rented,no,Librarian,Kozhikode,Kerala,6,14,1
237560,237561,361213,49,7,single,rented,yes,Microbiologist,Thrissur,Kerala,7,13,0
201763,201764,8217987,56,13,single,rented,yes,Graphic_Designer,Kolhapur,Maharashtra,8,14,0
220118,220119,1600043,54,2,married,rented,no,Architect,Raichur,Karnataka,2,14,1
69748,69749,221192,64,20,married,rented,yes,Financial_Analyst,Bhiwani,Haryana,4,14,0
143951,143952,4359506,75,4,single,norent_noown,no,Industrial_Engineer,Hapur,Uttar_Pradesh,4,11,0
155989,155990,7213058,50,12,single,rented,no,Army_officer,Amravati,Maharashtra,4,12,0
110278,110279,7251288,68,9,single,rented,no,Lawyer,Kirari_Suleman_Nagar,Delhi,3,13,0
54974,54975,6994513,76,18,single,rented,yes,Economist,Pali,Rajasthan,6,14,0
105673,105674,158353,54,15,single,rented,no,Lawyer,Hospet,Karnataka,10,14,0
5262,5263,7475587,26,16,single,rented,yes,Statistician,Patna,Bihar,7,13,1
247587,247588,5143991,46,19,single,rented,no,Statistician,Ahmednagar,Maharashtra,8,10,0
156416,156417,11114,73,19,single,rented,no,Surveyor,Nellore[14][15],Andhra_Pradesh,4,14,0
15329,15330,5121883,32,7,married,rented,no,Lawyer,Ludhiana,Punjab,5,12,0
234543,234544,8648155,22,0,single,rented,no,Architect,Hajipur[31],Bihar,0,13,0
54606,54607,1169151,61,17,single,rented,no,Drafter,Hajipur[31],Bihar,7,13,0
89266,89267,8830734,55,8,single,rented,yes,Secretary,Shahjahanpur,Uttar_Pradesh,8,12,1
123749,123750,5700141,37,9,single,rented,yes,Firefighter,Bhilai,Chhattisgarh,9,14,0
48620,48621,7430695,59,8,single,rented,no,Chef,Malda,West_Bengal,8,10,0
98936,98937,8324652,70,14,single,rented,no,Psychologist,Mira-Bhayandar,Maharashtra,12,11,0
83166,83167,4902965,32,7,married,rented,no,Comedian,Nagercoil,Tamil_Nadu,7,11,0
100574,100575,6973577,43,15,married,rented,yes,Financial_Analyst,Bikaner,Rajasthan,5,11,0
171631,171632,6127106,72,7,single,rented,no,Mechanical_engineer,Faridabad,Haryana,7,12,0
11138,11139,2704782,79,6,single,rented,no,Artist,Kakinada,Andhra_Pradesh,6,14,0
248382,248383,7019580,27,2,single,rented,yes,Technical_writer,Suryapet,Telangana,2,11,0
140336,140337,4727841,52,8,single,rented,no,Technology_specialist,Tenali,Andhra_Pradesh,8,12,0
196016,196017,1545384,35,14,single,rented,no,Analyst,Saharsa[29],Bihar,14,11,0
147893,147894,5300443,71,8,single,rented,yes,Politician,Bulandshahr,Uttar_Pradesh,7,13,0
80949,80950,4297196,37,4,married,rented,yes,Chemical_engineer,Maheshtala,West_Bengal,4,11,0
200605,200606,6550448,77,7,single,rented,yes,Fashion_Designer,Delhi_city,Delhi,7,13,0
16215,16216,1106438,79,3,married,rented,no,Librarian,Serampore,West_Bengal,3,12,0
196897,196898,1052130,29,16,single,rented,no,Police_officer,Jehanabad[38],Bihar,3,14,0
108188,108189,9521305,77,9,single,rented,no,Consultant,Motihari[34],Bihar,9,13,0
204901,204902,5982800,39,12,single,rented,no,Analyst,Chandrapur,Maharashtra,12,10,0
121403,121404,2153305,21,11,single,rented,yes,Computer_hardware_engineer,Shimla,Himachal_Pradesh,11,14,0
47292,47293,3168724,65,14,single,rented,no,Chemical_engineer,Nashik,Maharashtra,4,10,0
87048,87049,1215004,25,5,single,rented,no,Firefighter,Jalna,Maharashtra,5,10,0
180121,180122,5783146,51,18,single,rented,no,Psychologist,Chittoor[28],Andhra_Pradesh,7,12,0
8219,8220,9513619,76,2,single,rented,no,Financial_Analyst,Haldia,West_Bengal,2,14,0
162166,162167,6975092,73,9,single,rented,no,Architect,Kakinada,Andhra_Pradesh,9,13,0
73880,73881,4658830,45,11,single,rented,yes,Computer_hardware_engineer,Amroha,Uttar_Pradesh,8,10,1
250272,250273,36049,76,4,single,rented,no,Magistrate,Raurkela_Industrial_Township,Odisha,4,13,0
202994,202995,7915651,64,8,single,rented,no,Psychologist,Jamnagar,Gujarat,3,12,0
140557,140558,7115862,52,17,single,rented,no,Physician,Delhi_city,Delhi,14,11,0
152115,152116,9464966,67,14,single,norent_noown,yes,Statistician,Tiruppur,Tamil_Nadu,14,10,0
83651,83652,9017508,40,17,married,rented,yes,Petroleum_Engineer,Amravati,Maharashtra,6,13,0
227034,227035,9376568,40,2,single,rented,yes,Designer,Ratlam,Madhya_Pradesh,2,10,0
60478,60479,2214827,74,9,single,rented,yes,Comedian,Kadapa[23],Andhra_Pradesh,7,13,0
29048,29049,7436747,25,3,single,rented,yes,Secretary,Dindigul,Tamil_Nadu,3,14,0
161739,161740,8117593,38,1,single,rented,yes,Chemical_engineer,Hajipur[31],Bihar,1,14,0
97910,97911,479199,57,18,single,rented,no,Drafter,Jamalpur[36],Bihar,13,13,0
93435,93436,7571977,75,5,single,rented,yes,Civil_servant,Ranchi,Jharkhand,5,13,0
134208,134209,8755375,55,8,single,rented,no,Microbiologist,Karawal_Nagar,Delhi,5,14,0
48395,48396,2340133,48,9,single,rented,no,Computer_hardware_engineer,Chandrapur,Maharashtra,9,10,0
862,863,2513457,32,18,single,rented,yes,Petroleum_Engineer,Dibrugarh,Assam,9,10,0
180290,180291,448452,22,7,single,rented,no,Graphic_Designer,Bhind,Madhya_Pradesh,6,13,1
34435,34436,7645788,71,17,single,rented,yes,Civil_engineer,Pudukkottai,Tamil_Nadu,13,14,0
136199,136200,5023725,67,9,married,rented,no,Army_officer,Hyderabad,Telangana,9,11,0
229999,230000,3545598,29,12,single,rented,yes,Surveyor,New_Delhi,Delhi,11,14,0
250978,250979,2741868,62,17,married,rented,no,Engineer,Bhimavaram,Andhra_Pradesh,3,13,0
26335,26336,9856470,50,18,single,rented,no,Flight_attendant,Avadi,Tamil_Nadu,9,12,0
47027,47028,7280359,21,11,single,rented,no,Hotel_Manager,Ballia,Uttar_Pradesh,6,10,1
78054,78055,6067257,47,5,single,rented,no,Web_designer,Chapra,Bihar,5,13,0
102233,102234,9317976,34,10,single,rented,no,Air_traffic_controller,Ujjain,Madhya_Pradesh,10,14,0
147973,147974,2745694,36,11,single,rented,no,Industrial_Engineer,"Khora,_Ghaziabad",Uttar_Pradesh,9,13,0
40836,40837,326917,31,20,single,rented,no,Industrial_Engineer,Dehradun,Uttarakhand,11,10,0
155017,155018,9711256,61,7,single,rented,no,Technology_specialist,Kulti,West_Bengal,7,14,0
1427,1428,1298588,67,8,single,rented,no,Mechanical_engineer,Navi_Mumbai,Maharashtra,8,14,0
195215,195216,7625659,51,6,single,rented,no,Dentist,Jorhat,Assam,6,12,0
162143,162144,3308198,76,10,single,rented,yes,Economist,Morena,Madhya_Pradesh,4,14,0
247738,247739,439179,69,4,single,rented,no,Secretary,Bokaro,Jharkhand,3,12,0
181541,181542,7781258,72,9,single,rented,no,Army_officer,South_Dumdum,West_Bengal,9,11,0
161765,161766,2299667,24,10,single,rented,no,Army_officer,Allahabad,Uttar_Pradesh[5],10,13,0
168660,168661,2882498,34,0,married,rented,no,Chemical_engineer,Fatehpur,Uttar_Pradesh,0,13,0
72555,72556,2248392,46,20,married,rented,yes,Physician,Lucknow,Uttar_Pradesh,13,13,0
240122,240123,3883244,25,11,single,rented,no,Geologist,Dehri[30],Bihar,9,14,1
121985,121986,2030566,42,8,single,rented,no,Statistician,Bihar_Sharif,Bihar,4,14,0
137735,137736,66912,27,10,married,rented,no,Software_Developer,Jalandhar,Punjab,10,14,0
232249,232250,587232,42,7,single,rented,no,Surveyor,Miryalaguda,Telangana,3,14,0
248874,248875,4368449,38,8,single,rented,yes,Chemical_engineer,Jaunpur,Uttar_Pradesh,8,14,0
65229,65230,549476,47,1,single,rented,no,Fashion_Designer,Dhule,Maharashtra,1,10,0
192024,192025,548714,41,11,single,rented,no,Statistician,Kolhapur,Maharashtra,11,11,0
146789,146790,8978796,27,3,single,rented,no,Biomedical_Engineer,Ambarnath,Maharashtra,3,10,0
65146,65147,6402349,68,7,single,rented,no,Technology_specialist,Kota[6],Rajasthan,7,10,0
7913,7914,7800702,74,16,single,rented,no,Politician,Dindigul,Tamil_Nadu,8,12,0
232681,232682,1878280,24,10,single,rented,no,Scientist,Hubliâ€“Dharwad,Karnataka,10,12,0
45209,45210,3246861,79,2,single,rented,yes,Aviator,Adoni,Andhra_Pradesh,2,13,0
55021,55022,7253122,72,20,single,rented,no,Magistrate,Tiruppur,Tamil_Nadu,8,10,0
8134,8135,6744134,56,13,single,rented,yes,Police_officer,Unnao,Uttar_Pradesh,8,14,1
49486,49487,2875030,49,10,single,rented,no,Designer,Tezpur,Assam,10,10,0
61983,61984,8531866,39,12,single,rented,yes,Chartered_Accountant,Aizawl,Mizoram,4,10,0
104292,104293,4393965,47,5,single,rented,no,Scientist,Sri_Ganganagar,Rajasthan,5,14,0
20252,20253,9761761,33,5,single,rented,no,Petroleum_Engineer,Raipur,Chhattisgarh,5,14,0
2910,2911,6173369,70,17,single,rented,no,Design_Engineer,Kolkata,West_Bengal,14,14,0
185979,185980,5055246,39,19,single,rented,yes,Dentist,Phusro,Jharkhand,12,10,0
134475,134476,1598380,48,1,single,rented,yes,Computer_hardware_engineer,Jalandhar,Punjab,1,11,0
38412,38413,4758365,66,8,married,rented,no,Software_Developer,Bikaner,Rajasthan,8,11,0
7774,7775,1185318,40,3,single,rented,no,Secretary,Khammam,Telangana,3,10,0
124891,124892,6239581,38,8,single,rented,yes,Air_traffic_controller,Thane,Maharashtra,8,13,0
184318,184319,6951975,54,3,single,rented,yes,Analyst,Hubliâ€“Dharwad,Karnataka,3,11,0
12491,12492,8978055,60,9,single,rented,no,Web_designer,Sirsa,Haryana,9,14,0
97749,97750,3372296,26,10,married,rented,no,Magistrate,Indore,Madhya_Pradesh,10,12,0
62394,62395,4137087,25,11,single,rented,yes,Army_officer,Varanasi,Uttar_Pradesh,11,10,0
203619,203620,6681037,56,15,single,rented,no,Chef,Bhilwara,Rajasthan,13,12,0
167265,167266,9763429,73,5,single,rented,no,Consultant,Tirupati[21][22],Andhra_Pradesh,5,11,0
94641,94642,4002405,68,6,single,rented,no,Librarian,Burhanpur,Madhya_Pradesh,3,13,0
27645,27646,931078,57,19,single,rented,no,Chartered_Accountant,Bangalore,Karnataka,13,14,0
9477,9478,645868,53,6,single,rented,yes,Biomedical_Engineer,Bhavnagar,Gujarat,3,13,0
132626,132627,2018172,73,15,single,rented,no,Firefighter,Tiruppur,Tamil_Nadu,3,12,0
192025,192026,4950300,66,20,single,rented,no,Architect,Bahraich,Uttar_Pradesh,4,11,0
88242,88243,1996629,58,3,single,rented,no,Official,Ongole,Andhra_Pradesh,3,13,0
85610,85611,533359,50,7,single,rented,no,Engineer,Mumbai,Maharashtra,6,11,1
79776,79777,2794573,52,17,single,rented,yes,Industrial_Engineer,Mysore[7][8][9],Karnataka,14,13,0
78114,78115,9188759,55,2,single,rented,no,Financial_Analyst,Nangloi_Jat,Delhi,2,11,0
141966,141967,260970,59,2,single,owned,no,Fashion_Designer,Hyderabad,Telangana,2,13,0
206838,206839,6406820,54,5,single,rented,yes,Aviator,Kottayam,Kerala,3,14,0
117938,117939,7475292,33,3,single,rented,no,Designer,Mango,Jharkhand,3,10,0
98614,98615,4128579,52,15,married,rented,no,Technical_writer,Miryalaguda,Telangana,13,13,0
79239,79240,1238515,66,4,single,rented,yes,Civil_engineer,Belgaum,Karnataka,4,13,0
247254,247255,7519830,26,0,single,rented,no,Drafter,Pimpri-Chinchwad,Maharashtra,0,14,0
35293,35294,1151169,78,14,married,rented,yes,Hotel_Manager,Solapur,Maharashtra,13,14,0
131318,131319,9879257,35,8,single,rented,yes,Technical_writer,Jaipur,Rajasthan,4,10,0
107310,107311,8622588,45,18,single,owned,no,Surgeon,Agartala,Tripura,3,12,0
235331,235332,8143872,43,16,single,rented,no,Flight_attendant,Aurangabad[39],Bihar,11,13,0
178218,178219,2408148,59,10,single,rented,no,Architect,Solapur,Maharashtra,7,11,0
205734,205735,8163990,40,6,single,norent_noown,yes,Aviator,Anantapur,Andhra_Pradesh,6,11,0
86296,86297,2911820,27,11,single,rented,yes,Industrial_Engineer,Ahmednagar,Maharashtra,11,10,0
80058,80059,6945171,55,18,single,rented,no,Psychologist,South_Dumdum,West_Bengal,8,11,0
37490,37491,4591482,21,15,single,owned,yes,Financial_Analyst,Madhyamgram,West_Bengal,14,10,0
29573,29574,7871784,54,10,single,rented,yes,Dentist,Chinsurah,West_Bengal,10,12,0
213843,213844,5682930,56,16,single,rented,no,Police_officer,Hindupur,Andhra_Pradesh,8,14,0
78014,78015,6443274,79,12,single,rented,no,Chartered_Accountant,Thanjavur,Tamil_Nadu,9,14,1
132611,132612,9202245,74,16,single,rented,yes,Financial_Analyst,Sirsa,Haryana,13,12,0
